trip,lon,lat,step_speed,step_direction
P1108_18_SV_T1,-77.265036,-11.768739,14.965334446665466,15.035952014589267
P1108_18_SV_T1,-77.265621,-11.7667845,15.113829737812658,-8.322985575356768
P1108_18_SV_T1,-77.266878,-11.765307,14.26912983105788,-23.458935241594872
P1108_18_SV_T1,-77.26750200000002,-11.763547,13.825030608904314,20.648709489085828
P1108_18_SV_T1,-77.26854,-11.761945,14.078200999768741,-13.24658212070324
P1108_18_SV_T1,-77.2695305,-11.760336500000001,13.937717925490407,1.3041022619395335
P1108_18_SV_T1,-77.270292,-11.758651,13.67668912225102,7.22385079236409
P1108_18_SV_T1,-77.27127250000002,-11.756997,14.191387719428212,-6.269084916657164
P1108_18_SV_T1,-77.272222,-11.755542,12.812792162845707,-2.444571261645649
P1108_18_SV_T1,-77.272898,-11.7537595,14.109939058890099,12.2046285222832
P1108_18_SV_T1,-77.27358100000002,-11.751804,15.336370610944705,1.4913600952395996
P1108_18_SV_T1,-77.27441049999999,-11.7498975,15.377893556270967,-4.194591235718917
P1108_18_SV_T1,-77.27534200000002,-11.748098,14.970787843296108,-3.803191563710868
P1108_18_SV_T1,-77.275961,-11.746049,15.856404146622298,10.399152157944458
P1108_18_SV_T1,-77.27726700000002,-11.744319,15.964013820513856,-19.99173947494501
P1108_18_SV_T1,-77.27870949999998,-11.7425615,16.731304888051202,-2.31659138412806
P1108_18_SV_T1,-77.27996,-11.740589,17.228055244064127,6.957038274743866
P1108_18_SV_T1,-77.2813365,-11.738912,15.965360033189668,-6.95886602407802
P1108_18_SV_T1,-77.282627,-11.737447,14.356342407304995,-1.9898453166308627
P1108_18_SV_T1,-77.28347099999998,-11.735616,14.907214760695615,16.486398625188315
P1108_18_SV_T1,-77.284214,-11.733819,14.386488649071342,2.2509533698340647
P1108_18_SV_T1,-77.28549000000002,-11.732323999999998,14.457984740300152,-17.84546991034898
P1108_18_SV_T1,-77.286663,-11.730667,14.96118404286974,5.1582280721580664
P1108_18_SV_T1,-77.2877915,-11.7289695,15.030386852836866,1.6657152929615222
P1108_18_SV_T1,-77.288703,-11.727083,15.486929951234254,7.7428237780465565
P1108_18_SV_T1,-77.2897595,-11.7252955,15.325828050245015,-4.740537227708671
P1108_18_SV_T1,-77.290718,-11.723483,15.146371755450973,2.6837022169244165
P1108_18_SV_T1,-77.29145550000001,-11.7215055,15.622477847531785,7.31435461839675
P1108_18_SV_T1,-77.29240899999998,-11.719715,14.984795869617678,-7.478349363157692
P1108_18_SV_T1,-77.29409,-11.7184265,15.511853336710002,-24.406456128812128
P1108_18_SV_T1,-77.295772,-11.71732,14.7238785032308,-4.159598289840801
P1108_18_SV_T1,-77.2973085,-11.715965,15.025103139527493,8.11232905238802
P1108_18_SV_T1,-77.29869599999998,-11.714513,14.756222509495082,4.895924957112243
P1108_18_SV_T1,-77.3,-11.7129745,14.836651907640256,3.4064203318704362
P1108_18_SV_T1,-77.301461,-11.711699,14.222950727523903,-8.589743101356191
P1108_18_SV_T1,-77.303219,-11.710855,14.227024494759574,-15.601495719609375
